A,Unnamed: 1,Unnamed: 2,B,Unnamed: 4,Unnamed: 5,K,Unnamed: 7,Unnamed: 8,M,Unnamed: 10,Unnamed: 11,C,Unnamed: 13,Unnamed: 14,P,Unnamed: 16,Unnamed: 17,AB,Unnamed: 19,Unnamed: 20,AK,Unnamed: 22,Unnamed: 23,AM,Unnamed: 25,Unnamed: 26,AC,Unnamed: 28,Unnamed: 29,AP,Unnamed: 31,Unnamed: 32,BK,Unnamed: 34,Unnamed: 35,BM,Unnamed: 37,Unnamed: 38,BC,Unnamed: 40,Unnamed: 41,BP,Unnamed: 43,Unnamed: 44,KM,Unnamed: 46,Unnamed: 47,KC,Unnamed: 49,Unnamed: 50,KP,Unnamed: 52,Unnamed: 53,MC,Unnamed: 55,Unnamed: 56,MP,Unnamed: 58,Unnamed: 59,CP,Unnamed: 61,Unnamed: 62,ABK,Unnamed: 64,Unnamed: 65,ABM,Unnamed: 67,Unnamed: 68,ABC,Unnamed: 70,Unnamed: 71,ABP,Unnamed: 73,Unnamed: 74,AKM,Unnamed: 76,Unnamed: 77,AKC,Unnamed: 79,Unnamed: 80,AKP,Unnamed: 82,Unnamed: 83,AMC,Unnamed: 85,Unnamed: 86,AMP,Unnamed: 88,Unnamed: 89,ACP,Unnamed: 91,Unnamed: 92,BKM,Unnamed: 94,Unnamed: 95,BKC,Unnamed: 97,Unnamed: 98,BKP,Unnamed: 100,Unnamed: 101,BMC,Unnamed: 103,Unnamed: 104,BMP,Unnamed: 106,Unnamed: 107,BCP,Unnamed: 109,Unnamed: 110,KMC,Unnamed: 112,Unnamed: 113,KMP,Unnamed: 115,Unnamed: 116,KCP,Unnamed: 118,Unnamed: 119,MCP,Unnamed: 121,Unnamed: 122,ABKMCP,Unnamed: 124,Unnamed: 125,SOL-CORR/COV,Unnamed: 127,Unnamed: 128,SOL-INT,Unnamed: 130,Unnamed: 131,AN-COV/CORR,Unnamed: 133,Unnamed: 134,BLANK,Unnamed: 136,Unnamed: 137,KM + CDCA (1:1 ratio),Unnamed: 139
Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A),,Voltage (V),Current (A)
0.4929,-4.05e-05,,0.586,-0.000134,,0.5689,-0.000111,,0.633,-0.000233,,0.2299,-1.41e-05,,0.5359,-3.53e-05,,0.621,-0.000208,,0.509,-6.74e-05,,0.546,-0.000124,,0.516,-0.000108,,0.146,-5.17e-06,,0.629,-0.000146,,0.634,-0.000388,,0.644,-0.00022,,0.5347,-0.000288,,0.654,-0.000234,,0.605,-0.000101,,0.552,-9.23e-05,,0.296,-2.57e-05,,0.5748,-9.63e-05,,0.4607,-0.000326,,0.584,-0.000144,,0.628,-0.000173,,0.651,-0.000317,,0.628,-0.00026,,0.3449,1.43e-06,,0.544,-0.00013,,0.4258,-0.00015,,0.542,-0.000102,,0.572,-7.16e-05,,0.5706,-0.00039,,0.684,-0.000271,,0.5993,-0.00023,,0.596,-0.00019,,0.673,-0.000632,,0.616,-0.000111,,0.6,-0.000372,,0.653,-0.000209,,0.513,-2.24e-05,,0.552,-9.13e-05,,0.585,-9.64e-05,,0.627,-0.000301,,0.573,-0.000195,,0.497,-0.000104,,0.652,-0.000136,,0.127,1.59e-09,,0.5989,-0.000247
0.4879,-1.76e-05,,0.579,-2.6e-05,,0.563,-5.02e-05,,0.6259,-8.83e-05,,0.2269,-6.51e-06,,0.53,-1.48e-05,,0.6139,-6.35e-05,,0.5029,-1.99e-05,,0.54,-4.26e-05,,0.511,-4.49e-05,,0.145,-7.86e-08,,0.622,-3.61e-05,,0.627,-8.66e-05,,0.637,-5.22e-05,,0.5922,-0.000288,,0.647,-9.33e-05,,0.598,-3.76e-05,,0.545,-3.02e-05,,0.293,-1.71e-05,,0.5679,-3.27e-05,,0.487,-7.73e-05,,0.578,-4.76e-05,,0.621,-6.03e-05,,0.644,-6.41e-05,,0.621,-9.15e-05,,0.341,1.64e-05,,0.538,-5.74e-05,,0.433,-3.89e-05,,0.536,-4.55e-05,,0.566,-3.24e-05,,0.565,-0.000112,,0.676,-7.7e-05,,0.611,-9.8e-05,,0.59,-6.64e-05,,0.665,-0.000145,,0.61,-4.43e-05,,0.594,-0.000107,,0.646,-8.28e-05,,0.507,-1.28e-05,,0.546,-3.48e-05,,0.578,-3.77e-05,,0.62,-8.61e-05,,0.567,-6.64e-05,,0.492,-3.16e-05,,0.645,-5.97e-05,,0.125,1.38e-09,,0.5929,-8.4e-05
0.4819,-1.72e-07,,0.573,4.44e-06,,0.5569,-1.72e-05,,0.6189,2.31e-05,,0.225,-9.7e-07,,0.524,-1.96e-06,,0.607,6.11e-07,,0.4969,1.25e-05,,0.5339,1.86e-05,,0.5049,-1.23e-05,,0.143,3.47e-06,,0.6149,1.23e-05,,0.62,-3.24e-05,,0.6289,3.39e-05,,0.589,-9.75e-05,,0.639,3.07e-05,,0.591,4.07e-06,,0.539,-3.94e-06,,0.2889,5.61e-06,,0.5618,1.39e-06,,0.482,-3.19e-05,,0.571,1.28e-05,,0.614,-2.05e-05,,0.6369,1.68e-05,,0.614,-3.14e-05,,0.337,2.13e-05,,0.532,-1.51e-05,,0.428,-1.49e-05,,0.53,-6.2e-06,,0.56,-8.71e-06,,0.559,-5e-05,,0.669,-7.81e-06,,0.604,-2.49e-05,,0.583,-3.82e-06,,0.658,-2.66e-05,,0.6029,4.49e-06,,0.587,-2.68e-05,,0.638,1.96e-05,,0.501,-6.07e-06,,0.54,-9e-06,,0.572,5.41e-06,,0.613,-3.51e-05,,0.56,-2.12e-05,,0.486,-7.7e-06,,0.638,-1.33e-05,,0.124,1.75e-09,,0.5859,4.89e-05
0.4769,1.15e-05,,0.566,2.92e-05,,0.5499,1.12e-05,,0.612,0.000118,,0.2219,5.42e-06,,0.5179,8.55e-06,,0.6,4.5e-05,,0.4919,3.51e-05,,0.5279,6.88e-05,,0.499,1.05e-05,,0.141,6.27e-06,,0.608,4.74e-05,,0.613,-4.11e-06,,0.622,8.3e-05,,0.582,-2.51e-05,,0.632,0.000129,,0.584,3.87e-05,,0.533,1.65e-05,,0.286,1.01e-05,,0.5558,2.96e-05,,0.476,-1.59e-05,,0.565,5e-05,,0.607,6.8e-06,,0.629,7.85e-05,,0.607,7.25e-06,,0.333,3.04e-05,,0.526,1.86e-05,,0.424,-5.01e-06,,0.524,2.78e-05,,0.553,1.35e-05,,0.552,-1.84e-05,,0.661,4.79e-05,,0.597,2.5e-06,,0.576,3.91e-05,,0.65,4.92e-05,,0.596,4.28e-05,,0.58,1.28e-05,,0.631,9.17e-05,,0.496,-1.2e-06,,0.534,1.03e-05,,0.565,4.5e-05,,0.606,-4.68e-06,,0.554,4.76e-06,,0.481,5.52e-06,,0.63,3.21e-05,,0.123,1.42e-09,,0.5789,0.000152
0.4709,2.33e-05,,0.56,4.22e-05,,0.5439,3.02e-05,,0.6049,0.000205,,0.2189,1.21e-05,,0.5129,1.57e-05,,0.5929,8.11e-05,,0.486,6.07e-05,,0.522,0.000113,,0.493,2.77e-05,,0.14,7.21e-06,,0.601,7.67e-05,,0.606,1.49e-05,,0.615,0.000128,,0.5749,6.14e-06,,0.625,0.00022,,0.578,6.38e-05,,0.527,3.27e-05,,0.283,1.94e-05,,0.5488,5.54e-05,,0.471,-8.43e-06,,0.558,8.82e-05,,0.6,2.66e-05,,0.622,0.000111,,0.6,3.59e-05,,0.329,4.09e-05,,0.52,4.49e-05,,0.419,3e-06,,0.518,5.62e-05,,0.547,2.79e-05,,0.546,-1.03e-06,,0.654,8.17e-05,,0.591,1.64e-05,,0.57,6.68e-05,,0.643,8.82e-05,,0.589,7.69e-05,,0.574,3.31e-05,,0.624,0.000158,,0.49,3.9e-06,,0.528,2.51e-05,,0.559,7.25e-05,,0.599,1.7e-05,,0.548,2.47e-05,,0.475,1.66e-05,,0.623,6.32e-05,,0.121,1.51e-09,,0.5729,0.000247
0.4659,3.14e-05,,0.553,6.09e-05,,0.5379,4.72e-05,,0.5979,0.000286,,0.2169,8.82e-06,,0.5069,2.35e-05,,0.586,0.000111,,0.481,7.83e-05,,0.516,0.000152,,0.488,3.94e-05,,0.138,1.03e-05,,0.594,0.000102,,0.599,2.9e-05,,0.608,0.000167,,0.569,1.99e-05,,0.618,0.000302,,0.571,9.2e-05,,0.521,4.63e-05,,0.28,3.72e-05,,0.5428,7.2e-05,,0.465,-7.04e-07,,0.552,0.000113,,0.593,4.3e-05,,0.615,0.000142,,0.593,5.91e-05,,0.325,5.65e-05,,0.514,6.73e-05,,0.414,8.87e-06,,0.512,7.98e-05,,0.541,4.23e-05,,0.54,1.17e-05,,0.646,0.00012,,0.584,2.95e-05,,0.563,9.78e-05,,0.636,0.000123,,0.582,0.000107,,0.567,5.52e-05,,0.617,0.000219,,0.484,8.65e-06,,0.522,3.76e-05,,0.552,0.000102,,0.592,3.39e-05,,0.541,4.49e-05,,0.47,2.34e-05,,0.616,9.08e-05,,0.12,1.44e-09,,0.5659,0.000363
0.4599,4.09e-05,,0.547,7.04e-05,,0.5309,6.69e-05,,0.591,0.000356,,0.2139,1.25e-05,,0.501,2.99e-05,,0.579,0.000136,,0.475,9.82e-05,,0.5099,0.000187,,0.4819,5.16e-05,,0.137,1.16e-05,,0.587,0.000124,,0.592,4.09e-05,,0.601,0.000199,,0.562,3.5e-05,,0.61,0.000391,,0.564,0.000118,,0.515,5.83e-05,,0.276,4.88e-05,,0.5368,8.86e-05,,0.46,3.83e-06,,0.545,0.00014,,0.586,5.76e-05,,0.608,0.000168,,0.586,7.82e-05,,0.322,6.06e-05,,0.508,8.59e-05,,0.409,1.31e-05,,0.506,0.000102,,0.534,5.64e-05,,0.533,2.4e-05,,0.639,0.000144,,0.577,3.89e-05,,0.557,0.000116,,0.628,0.000161,,0.575,0.000134,,0.56,7.09e-05,,0.609,0.000281,,0.478,1.31e-05,,0.516,4.84e-05,,0.546,0.000122,,0.585,4.8e-05,,0.535,5.79e-05,,0.464,3.16e-05,,0.609,0.000115,,0.118,1.29e-09,,0.5599,0.000429
0.4549,4.75e-05,,0.54,8.2e-05,,0.5249,8.04e-05,,0.584,0.000417,,0.2119,1.76e-05,,0.4949,3.51e-05,,0.5719,0.000157,,0.4689,0.000117,,0.504,0.000217,,0.476,6.22e-05,,0.135,1.33e-05,,0.58,0.000143,,0.585,5.09e-05,,0.594,0.000227,,0.555,4.47e-05,,0.603,0.00046,,0.558,0.000139,,0.509,6.88e-05,,0.273,4.81e-05,,0.5298,0.000107,,0.455,7.74e-06,,0.539,0.000158,,0.579,6.99e-05,,0.601,0.000189,,0.579,9.45e-05,,0.318,7.3e-05,,0.502,0.000102,,0.404,1.64e-05,,0.5,0.00012,,0.528,6.49e-05,,0.527,3.13e-05,,0.631,0.000173,,0.57,4.6e-05,,0.55,0.000139,,0.621,0.00018,,0.569,0.000153,,0.554,7.98e-05,,0.602,0.000325,,0.473,1.64e-05,,0.509,6.03e-05,,0.54,0.00014,,0.578,5.98e-05,,0.529,7.03e-05,,0.459,3.71e-05,,0.601,0.00014,,0.117,1.11e-09,,0.5529,0.000508
0.4489,5.52e-05,,0.5339,9.05e-05,,0.5189,9.38e-05,,0.5769,0.00047,,0.2089,1.96e-05,,0.4889,3.96e-05,,0.566,0.00017,,0.4639,0.00013,,0.498,0.000244,,0.47,7.12e-05,,0.133,1.62e-05,,0.573,0.00016,,0.578,5.95e-05,,0.587,0.000252,,0.549,4.96e-05,,0.596,0.000522,,0.551,0.000161,,0.503,7.69e-05,,0.27,4.46e-05,,0.5238,0.00012,,0.449,1.22e-05,,0.532,0.000177,,0.572,8.13e-05,,0.593,0.000214,,0.572,0.000108,,0.314,7.66e-05,,0.495,0.00012,,0.399,1.94e-05,,0.494,0.000136,,0.522,7.58e-05,,0.521,3.78e-05,,0.623,0.000196,,0.563,5.19e-05,,0.543,0.000156,,0.613,0.000208,,0.562,0.000176,,0.547,9.27e-05,,0.595,0.000365,,0.467,2.04e-05,,0.503,6.77e-05,,0.533,0.000158,,0.571,7e-05,,0.522,8.5e-05,,0.453,4.36e-05,,0.594,0.000157,,0.116,1e-09,,0.5459,0.000596
