Dye,Voc,Isc,Vmax,Imax,Pmax,FF,Efficiency_%
A,0.48182631939684717,0.00015915254237288136,0.3289,0.000121,3.9796900000000005e-05,0.5189734540354656,0.00397969
AB,0.6070657593860648,0.00030813043478260867,0.483,0.000265,0.000127995,0.6842623902099072,0.0127995
ABC,0.638374412855377,0.00032813043478260867,0.521,0.000304,0.00015838400000000002,0.7561175553359968,0.015838400000000002
ABK,0.5724834437086093,0.0002958474576271186,0.474,0.00025,0.0001185,0.6996608566794772,0.01185
ABKMCP,0.6044889298892989,0.000202,0.46,0.000142,6.532e-05,0.5349417014020125,0.0065320000000000005
ABM,0.6087435897435898,0.00026957142857142853,0.461,0.000164,7.5604e-05,0.46071941311004044,0.0075604
ABP,0.6083130659767141,0.000211,0.482,0.000185,8.917e-05,0.6947189838714845,0.008917
AC,0.5017171052631579,0.000181,0.367,0.000138,5.0645999999999996e-05,0.5577090192078802,0.0050646
ACP,0.5455145326001571,0.0001605,0.4,9.01e-05,3.604e-05,0.41162658955036,0.003604
AK,0.49921481481481483,0.00037430508474576267,0.3729,0.000265,9.88185e-05,0.5288409361984281,0.00988185
AKC,0.5293115727002967,0.000324,0.393,0.000227,8.9211e-05,0.5201900105601794,0.0089211
AKM,0.3449,0.00058075,0.207,0.000285,5.899499999999999e-05,0.29453220764233573,0.005899499999999999
AKP,0.42087265917602995,8.578e-05,0.283,5.92e-05,1.6753599999999998e-05,0.4640570623020276,0.0016753599999999999
AM,0.5357539215686274,0.000543457627118644,0.413,0.000412,0.00017015599999999997,0.5844080921124944,0.0170156
AMC,0.5289058823529412,0.0005165,0.38,0.000294,0.00011172,0.408961291849471,0.011172
AMP,0.5572548401620891,0.00024315254237288134,0.407,0.000162,6.5934e-05,0.4866052156494225,0.006593399999999999
AN-COV/CORR,0.6356563876651983,0.000387,0.507,0.000291,0.00014753700000000002,0.5997462867317728,0.014753700000000002
AP,0.14495570083976778,0.00014,0.078,6.96e-05,5.4288e-06,0.26751029888784184,0.0005428799999999999
B,0.5738751642575558,0.00028,0.4169,0.000188,7.83772e-05,0.48776909833815996,0.00783772
BC,0.6320891986062718,0.000449,0.508,0.000386,0.000196088,0.6909176814386733,0.0196088
BCP,0.5822626262626263,0.000176,0.467,0.000154,7.191800000000001e-05,0.7017881305946847,0.007191800000000001
BK,0.6167043388429752,0.0002961304347826087,0.496,0.000253,0.00012548800000000002,0.6871351251278133,0.012548800000000002
BKC,0.5970247311827956,0.000118,0.453,9.12e-05,4.13136e-05,0.5864334188361967,0.00413136
BKM,0.6678784778316281,0.000404,0.517,0.000338,0.00017474599999999998,0.6476321940552769,0.0174746
BKP,0.5823769804287046,0.000262,0.477,0.000226,0.000107802,0.7065149020215211,0.0107802
BLANK,0.127,2.55e-09,0.044,1.14e-08,5.015999999999999e-10,1.5488652153774891,5.015999999999999e-08
BM,0.6114865860073645,0.0002573913043478261,0.451,0.000143,6.449300000000001e-05,0.4097620880063796,0.006449300000000001
BMC,0.6551926121372031,0.0003888571428571429,0.516,0.000344,0.000177504,0.6967052314748056,0.017750400000000003
BMP,0.6035533920885428,0.000356,0.466,0.000317,0.000147722,0.6875107383066007,0.014772200000000001
BP,0.5762954545454545,0.000115,0.475,8.76e-05,4.1609999999999996e-05,0.6278482401737965,0.004161
C,0.22452942097026604,0.0001599666666666667,0.1019,0.0001,1.019e-05,0.2837079021479008,0.0010190000000000002
CP,0.4600081284297972,0.00017745762711864407,0.301,6.21e-05,1.86921e-05,0.22898019449325324,0.00186921
K,0.5526605633802817,0.00029615254237288135,0.3799,0.000225,8.54775e-05,0.522249305347828,0.00854775
KC,0.5916837053035757,0.000433,0.45,0.000324,0.00014580000000000002,0.5690887737051264,0.014580000000000003
KCP,0.5372020725388601,0.00017,0.411,0.000129,5.3018999999999995e-05,0.5805570874183006,0.005301899999999999
KM,0.6409806451612904,0.0010914285714285715,0.516,0.000913,0.000471108,0.6734110596877186,0.047110799999999994
KMC,0.63953125,0.000678,0.53,0.000568,0.00030104000000000003,0.6942769401964791,0.030104000000000002
KMP,0.49458823529411766,0.00016383333333333332,0.285,0.000141,4.0185e-05,0.4959271942721799,0.0040185
KM_+_CDCA_(1:1_ratio),0.5884756207674944,0.0018113043478260869,0.4269,0.0013,0.00055497,0.5206544706039778,0.055497
KP,0.5378434442270059,0.00015,0.435,0.00012,5.22e-05,0.6470284312940714,0.00522
M,0.620351526032316,0.0009513913043478261,0.4999,0.000723,0.0003614277,0.6123847984791815,0.036142770000000005
MC,0.2899128137384412,0.00043575,0.155,0.000272,4.2159999999999996e-05,0.3337304203247472,0.004215999999999999
MCP,0.5727529575504523,0.0003563333333333333,0.455,0.000264,0.00012012000000000001,0.5885610700066535,0.012012
MP,0.5620487239659724,0.0004772758620689655,0.3769,0.00028,0.00010553199999999999,0.3934057759314666,0.010553199999999999
P,0.5228624167459562,7.679152542372881e-05,0.423,6.27e-05,2.65221e-05,0.6605522672501138,0.0026522100000000003
SOL-CORR/COV,0.555100154083205,0.000204,0.433,0.000153,6.6249e-05,0.5850295619830121,0.0066248999999999995
SOL-INT,0.4830877458396369,0.00017816666666666664,0.348,0.000113,3.9324e-05,0.45688322364583306,0.0039324
